CVEGEO,CVE_ENT,CVE_MUN,CVE_LOC,CVE_AGEB,CVE_MZA,AMBITO,TIPOMZA,ENTIDAD,NOM_ENT,MUN,NOM_MUN,LOC,NOM_LOC,AGEB,MZA,POBTOT,POBFEM,POBMAS,P_0A2,P_0A2_F,P_0A2_M,P_3YMAS,P_3YMAS_F,P_3YMAS_M,P_5YMAS,P_5YMAS_F,P_5YMAS_M,P_12YMAS,P_12YMAS_F,P_12YMAS_M,P_15YMAS,P_15YMAS_F,P_15YMAS_M,P_18YMAS,P_18YMAS_F,P_18YMAS_M,P_3A5,P_3A5_F,P_3A5_M,P_6A11,P_6A11_F,P_6A11_M,P_8A14,P_8A14_F,P_8A14_M,P_12A14,P_12A14_F,P_12A14_M,P_15A17,P_15A17_F,P_15A17_M,P_18A24,P_18A24_F,P_18A24_M,P_15A49_F,P_60YMAS,P_60YMAS_F,P_60YMAS_M,REL_H_M,POB0_14,POB15_64,POB65_MAS,VIVTOT,TVIVHAB,TVIVPAR,VIVPAR_HAB,TVIVPARHAB,VIVPAR_DES,VIVPAR_UT,PRO_OCUP_C,PROM_OCUP,OCUPVIVPAR,VPH_TV,VPH_RADIO,VPH_PC,VPH_TELEF,VPH_CEL,VPH_INTER,VPH_STVP,VPH_SPMVPI,VPH_SINRTV,VPH_SINLTC,VPH_SINCINT,VPH_SINTIC,area
"1901900010312015","19","019","0001","0312","015",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0312","15","205","108","97","9","6","3","196","102","94","183","96","87","158","83","75","153","79","74","147","77","70","18","10","8","20","9","11","19","11","8","5","4",*,"6",*,"4","26","10","16","47","37","20","17","89.81","52","131","22","47","46","47","46","46",*,"0","0.95","4.46","205","45","39","7","26","39","29","16","6","0",*,"17","0","5335"
"1901900010312014","19","019","0001","0312","014",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0312","14","107","50","57","6","4",*,"101","46","55","98","45","53","85","39","46","81","36","45","74","33","41","3",*,*,"13","6","7","12","6","6","4","3",*,"7","3","4","11","5","6","28","15","6","9","114","26","73","8","19","19","19","19","19","0","0","1.22","5.63","107","19","18","7","10","17","9","6","4","0",*,"8","0","2169"
"1901900010312013","19","019","0001","0312","013",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0312","13","38","19","19",*,*,"0","36","17","19","36","17","19","35","17","18","35","17","18","33","15","18",*,"0",*,"0","0","0","0","0","0","0","0","0",*,*,"0","6","3","3","13",*,*,*,"100","3","34",*,"12","12","11","11","12","0","0","0.72","3.17","38","11","9",*,"5","12","5","6","3","0","0","7","0","1381"
"1901900010312012","19","019","0001","0312","012",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0312","12","48","23","25","3",*,*,"45","21","24","45","21","24","43","21","22","40","19","21","35","16","19","0","0","0",*,"0",*,"5",*,"3","3",*,*,"5","3",*,"6","3","3","14","6",*,"4","108.7","8","36","4","8","8","7","7","8","0","0","1.02","6","48","8","7","4","6","7","6","4",*,"0","0",*,"0","1163"
"1901900010327033","19","019","0001","0327","033",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","33","176","86","90","10","4","6","166","82","84","160","80","80","148","74","74","144","71","73","135","67","68","6",*,"4","12","6","6","14","7","7","4","3",*,"9","4","5","7","4","3","35","36","18","18","104.65","32","131","13","55","50","54","49","50",*,"4","0.8","3.52","176","49","44","31","39","45","42","20","18",*,*,"6","0","5119"
"1901900010327032","19","019","0001","0327","032",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","32","153","87","66","6","3","3","147","84","63","143","83","60","125","71","54","122","71","51","112","66","46","6","3","3","16","10","6","17","10","7","3","0","3","10","5","5","7","5",*,"41","34","16","18","75.86","31","102","20","37","37","35","35","37","0","0","0.76","4.14","153","37","31","26","32","34","32","20","20","0",*,"3","0","5755"
"1901900010327027","19","019","0001","0327","027",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0327","27","150","79","71","4",*,"3","146","78","68","142","76","66","132","70","62","128","68","60","123","65","58","5","3",*,"9","5","4","11","6","5","4",*,*,"5","3",*,"16","7","9","38","44","22","22","89.87","22","100","28","41","39","40","38","39",*,"0","0.83","3.85","150","39","26","24","31","37","34","25","11","0","0","5","0","5162"
"1901900010577055","19","019","0001","0577","055",Urbana,Típica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"427"
"1901900010488034","19","019","0001","0488","034",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0488","34","0","0","0",N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,"1",*,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,N/D,"9769"
"1901900010488030","19","019","0001","0488","030",Urbana,Típica,"19",Nuevo Le√≥n,"19",San Pedro Garza Garc√≠a,"1",San Pedro Garza Garc√≠a,"0488","30","102","51","51","5","3",*,"97","48","49","88","42","46","76","38","38","71","34","37","67","33","34","13","7","6","8","3","5","9","5","4","5","4",*,"4",*,"3","13","5","8","24","8","5","3","100","31","65","6","25","25","24","24","25","0","0","1.17","4.08","102","25","18","5","10","24","12","3","3","0",*,"13","0","5347"
