POBTOT,area,join_SHAPE_AREA,UNION,NOMBRE_PARQUE,join_SECTOR,distance
122,4011,4891.591173,10,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,9.00E-05
,45523,1591.489109,1113,UNIDAD SAN PEDRO,K1,0
,96544,7858.975477,1114,UNIDAD SAN PEDRO,K1,0
192,5481,9042.753381,1065,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,9.61E-05
83,2208,1293.145036,133,,,0.000553728
185,4713,9042.753381,1065,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,9.73E-05
184,4742,6203.245228,1269,,,0.000100521
84,2173,704.1336795,6,PARQUE LAS MITRAS,K1,0.00019362
76,1584,704.1336795,6,PARQUE LAS MITRAS,K1,8.15E-05
58,2417,9335.839366,229,POLIDEPORTIVO REVOLUCIÓN,K1,0.000133837
71,2676,10023.98069,228,POLIDEPORTIVO REVOLUCIÓN,K1,0.000133693
138,3348,10023.98069,228,POLIDEPORTIVO REVOLUCIÓN,K1,0.000232728
11,621,9417.941249,1267,,,0.000977439
176,5010,2113.70822,1103,PARQUE LA AMISTAD ORIENTE,K1,0.000125725
160,4603,2113.70822,1103,PARQUE LA AMISTAD ORIENTE,K1,0.000111439
91,3351,17532.11898,1268,,,9.08E-05
156,4338,704.1336795,6,PARQUE LAS MITRAS,K1,0.000676805
182,4401,43372.71985,7,PARQUE LOS ROSALES,K1,0.000584009
137,4420,43372.71985,7,PARQUE LOS ROSALES,K1,0.000124761
78,2035,1449.545929,1063,PARQUE EL POZO,K1,0.000103899
197,5100,9417.941249,1267,,,0.000196172
164,4792,9417.941249,1267,,,0.000124039
151,4710,9417.941249,1267,,,0.000104089
175,14564,630.511617,244,JESÚS M. GARZA EN MORONES PRIETO,K1,0
,26650,3955.916602,98,PARQUE VISTA MONTAÑA,K1,0
142,3561,10023.98069,228,POLIDEPORTIVO REVOLUCIÓN,K1,8.55E-05
86,5395,980.8443659,5,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
58,2344,980.8443659,5,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
68,2432,980.8443659,5,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0
,3971,1328.445993,246,JESUS M. GARZA,K1,3.91E-05
,1589,1591.489109,1113,UNIDAD SAN PEDRO,K1,0.002609762
,262490,1328.445993,246,JESUS M. GARZA,K1,0.002475619
45,18505,1713.35707,237,,,0
200,4820,9417.941249,1267,,,7.58E-05
3,11941,202.4471695,183,,,0
154,4786,9417.941249,1267,,,0.000119707
199,5302,9335.839366,229,POLIDEPORTIVO REVOLUCIÓN,K1,8.12E-05
1031,236339,5173.025796,391,,,0.002102222
,10214,2113.70822,1103,PARQUE LA AMISTAD ORIENTE,K1,8.12E-05
,510,7632.968569,1102,PARQUE SAN PEDRO 400,K1,0
,1018,704.1336795,6,PARQUE LAS MITRAS,K1,0
179,4863,14896.7025,188,PARQUE SAN EVARISTO,K1,6.44E-05
109,4100,10430.60616,1099,PARQUE RESPLANDOR,K1,7.65E-05
329,9437,6812.165988,1293,PARQUE RESPLANDOR,K1,8.37E-05
34,25366,14896.7025,188,PARQUE SAN EVARISTO,K1,0
9,1373,204.276803,240,,,0
71,1291,4129.134279,462,,,3.21E-05
21,14253,4129.134279,462,,,0
244,5694,194.1912336,382,,,7.80E-05
198,7400,296.3126393,251,,,0
89,3452,183.4465845,1375,,,0
101,3612,509.0045604,249,,,0
9,952,924.0066608,250,LUÍS ECHEVERRÍA EN CORREGIDORA Y FRANCISCO VILLA,K1,0.000243379
52,4676,2782.859874,253,LUCIO BLANCO 1er SECTOR,K1,0
,11858,15203.51994,1067,PARQUE LA FUERZA,K1,6.51E-05
278,7136,5890.924917,1064,PARQUE VISTA DE LA MONTAÑA,K1,8.64E-05
57,3353,898.8684211,137,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,0.000153358
112,4638,898.8684211,137,ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),K1,8.77E-05
90,2201,112.9853392,239,PARQUE LINEAL LOS PINOS,K1,4.92E-05
532,57717,445.3093561,245,,,0
4,95620,504.1625694,16,LUÍS ECHEVERRÍA EN CORREGIDORA Y FRANCISCO VILLA,K1,0
,290411,3020.838474,260,PARQUE LINEAL PLAN DE AYALA,K1,0
