SHAPE_AREA,US_ACT2021,DES_US2021,DES_ES2021,UNION,NOMBRE_PARQUE,DIRECCION,SECTOR,CATEGORIA,UBICACION,ACCESO,TIPOLOGIA
5395.06362301,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"128",PARQUE VISTA DE LA MONTAÑA,"COLONIA SAN PEDRO 400 , PLATINO ORIENTE Y VIRGILIO CARDENAS",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
294.239430876,EA,ESPACIO ABIERTO,PARQUE,"129",PARQUE VERDE LIMON,"COLONIA VISTA MONTAÑA, EMILIANO ZAPATA Y NICEFORO ZAMBRANO",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
3661.03077858,EA,ESPACIO ABIERTO,PARQUE,"130",PARQUE VERDE LIMON,"COLONIA VISTA MONTAÑA, EMILIANO ZAPATA Y NICEFORO ZAMBRANO",K1,PRINCIPAL,ÁREA PÚBLICA,ABIERTO,parque de barrio
2836.85266631,EA,ESPACIO ABIERTO,PARQUE,"131",,,,,,,
146.232001402,EA,ESPACIO ABIERTO,CAMELLON,"132",,,,,,,
1293.14503614,EA,ESPACIO ABIERTO,PARQUE,"133",,,,,,,
1137.17497198,EA,ESPACIO ABIERTO,PARQUE,"134",,,,,,,
1773.78259506,EA,ESPACIO ABIERTO,CAMELLON,"135",,,,,,,
56.5740897725,EA,ESPACIO ABIERTO,CAMELLON,"136",,,,,,,
898.868421135,EA,ESPACIO ABIERTO,CAMELLON,"137",ÁREA DEP. MANUEL J. CLOUTHIER (CORREGIDORA-CROMO),"SECTOR NORPONEINTE DE SAN PEDRO , CLOUTHIER / CORREGIDORA Y CROMO",K1,LINEAL,ÁREA PÚBLICA,ABIERTO,parque lineal
6549.32403322,EA,ESPACIO ABIERTO,PARQUE,"138",,,,,,,
6276.4177455,EA,ESPACIO ABIERTO,PARQUE,"139",,,,,,,
5630.87915009,EA,ESPACIO ABIERTO,CAMELLON,"140",,,,,,,
5096.59545361,EA,ESPACIO ABIERTO,CAMELLON,"141",,,,,,,
4897.26718546,EA,ESPACIO ABIERTO,CAMELLON,"142",,,,,,,
7583.5584598,EA,ESPACIO ABIERTO,PARQUE,"143",,,,,,,
1350.62352394,EA,ESPACIO ABIERTO,PARQUE,"144",,,,,,,
4934.25716671,EA,ESPACIO ABIERTO,PARQUE,"145",,,,,,,
4155.29949633,EA,ESPACIO ABIERTO,CAMELLON,"146",,,,,,,
4367.50786436,EA,ESPACIO ABIERTO,CAMELLON,"147",,,,,,,
3493.02059005,EA,ESPACIO ABIERTO,CAMELLON,"148",,,,,,,
8765.60462014,EA,ESPACIO ABIERTO,PARQUE,"149",,,,,,,
450.967819254,EA,ESPACIO ABIERTO,PARQUE,"150",,,,,,,
381.681458226,EA,ESPACIO ABIERTO,CAMELLON,"151",,,,,,,
161.349394734,EA,ESPACIO ABIERTO,CAMELLON,"152",,,,,,,
743.482335267,EA,ESPACIO ABIERTO,CAMELLON,"153",,,,,,,
203.290513549,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"154",,,,,,,
69.0886465638,EA,ESPACIO ABIERTO,ESPACIO ABIERTO,"155",,,,,,,
