id,nom_estab,codigo_act,join_UNION,join_NOMBRE_PARQUE,tipo_servicio
3019411,ESTANCIA OBISPO,624412,188,PARQUE SAN EVARISTO,publico
3019257,MASAJES ERNESTINA,621398,10,ÁREA DEP. MANUEL J. CLOUTHIER,salud
3019123,GIMNASIO VISTA MONTAMA,713944,1067,PARQUE LA FUERZA,publico
3019237,CONSULTORIO DENTAL SIN NOMBRE,621211,10,ÁREA DEP. MANUEL J. CLOUTHIER,salud
3019158,CONSULTORIO DENTAL,621211,11,PARQUE LA HORMIGA,salud
3017899,CONSULTORIO DENTAL,621211,10,ÁREA DEP. MANUEL J. CLOUTHIER,salud
3017927,TIFOSI FUTBOL SAN PEDRO,713992,1113,UNIDAD SAN PEDRO,servicios miscelaneos
8688764,ANTOJITOS MEXICANOS SIN NOMBRE,722513,10,ÁREA DEP. MANUEL J. CLOUTHIER,restaurante
7648379,HAMBURGUESAS Y BURRITOS DOaA MARY,722517,23,PARQUE BUGAMBILIAS,restaurante
8369514,LA NORTE5ITA,722516,10,ÁREA DEP. MANUEL J. CLOUTHIER,restaurante
3017893,BETO BURGUER VENTA DE HAMBURGUESAS,722517,10,ÁREA DEP. MANUEL J. CLOUTHIER,restaurante
7564159,CLUB DE NUTICION,722519,11,PARQUE LA HORMIGA,salud
7564223,COMIDAS PARA LLEVAR,722518,12,PARQUE LOS CIPRESES,restaurante
2990160,COOPERATIVA ESCOLAR DENTRO DE SECUNDARIA 49,722515,81,PARQUE RESPLANDOR,abarrotes
8829589,GORDITAS CASERAS SIN NOMBRE,722513,1103,PARQUE LA AMISTAD ORIENTE,restaurante
3018886,TACOS AL VAPOR MARI,722514,10,ÁREA DEP. MANUEL J. CLOUTHIER,restaurante
8633444,POLLOS PEPE,722517,1105,ÁREA DEP. MANUEL J. CLOUTHIER,restaurante
2990108,TACOS EL TOCAYO,722514,98,PARQUE VISTA MONTAÑA,restaurante
7563376,SNACK LA QUINA,722515,278,ÁREA DEP. MANUEL J. CLOUTHIER,abarrotes
7648369,SNACK DOoA GELA,722519,376,ANDADOR CORREGIDORA Y CLOUTHIER,abarrotes
8829588,TACOS MAIANEROS DE GUISOS ANGELES,722514,11,PARQUE LA HORMIGA,restaurante
